Product_Name,Product_Type,Weather_Preference,States_Preference,Region_Preference,Soil_Moisture_%,Temperature_C,Humidity_%,Pest_Risk_%,Irrigation_Needed,Fertilizer_Required,Pest_Name,Pesticide_name 
Wheat,Cereal Crop,Cool & Dry (Rabi),"Punjab, UP, MP",Plains,25,20,55,20,Yes (2–3 cycles),"Urea, DAP, Potash",Leaf Miner,Fipronil
Rice,Cereal Crop,Warm & Humid (Kharif),"WB, TN, AP, Bihar",Plain/Delta,50,30,80,40,Yes (Flood/Irrigation),"Urea, SSP, MOP",Mites,Mancozeb
Mango,Fruit Tree,Warm & Dry Summer,"Maharashtra, UP",Tropical/Subtropical,20,27,60,25,Moderate (Flowering),"FYM, Potash, Zinc",Fruit Borer,Spinosad
Apple,Fruit Tree,Cold & Temperate,"HP, J&K, Uttarakhand",Hills,25,15,50,15,Yes (Drip),"FYM, Calcium, Boron",Cutworm,Malathion
Banana,Fruit Crop,Warm & Humid,"TN, Kerala, MH",Tropical,70,28,85,30,High (Weekly),"NPK, FYM, Magnesium",Mealybug,Mancozeb
Tomato,Vegetable,Warm & Semi-Humid,"Karnataka, AP, MP",Plains/Hills,40,24,70,50,Yes (Frequent),"NPK, Calcium, Boron",Armyworm,Lambda-cyhalothrin
Grapes,Fruit Vine,Dry & Sunny,"MH, Karnataka",Semi-arid,25,27.5,50,25,Yes (Drip),"Potash, FYM, Zinc",Fruit Borer,Carbendazim
Potato,Tuber Crop,Cool & Moist,"UP, WB, Punjab",Hills/Plains,35,17.5,65,25,Yes (2–3 cycles),"Urea, DAP, MOP",Thrips,Thiamethoxam
Black Pepper,Spice Vine,Humid & Shaded,"Kerala, Karnataka",Hills (Western Ghats),50,25,80,35,Yes (Rainfed + Drip),"FYM, Potash, Zinc",Cutworm,Spinosad
Pomegranate,Fruit Shrub,Dry & Sunny,"MH, Gujarat, AP",Semi-arid,25,30,50,20,Yes (Drip),"FYM, Potash, Boron",Mites,Imidacloprid
Peach,Fruit Tree,Temperate & Cool,"HP, J&K, Uttarakhand",Hills,25,17.5,60,25,Yes (Drip),"FYM, Potash, Boron",Stem Borer,Spinosad
Knol-Khol,Vegetable,Cool & Moist,"WB, Punjab, Karnataka",Hills/Plains,35,20,70,30,Yes (Frequent),"NPK, FYM",Stem Borer,Imidacloprid
Pear,Fruit Tree,Temperate & Moist,"HP, J&K, Uttarakhand",Hills,30,18.5,60,25,Yes (Seasonal),"FYM, Potash, Zinc",Mites,Lambda-cyhalothrin
Garlic,Bulb Crop,Cool & Dry,"MP, Gujarat, Punjab",Plains,30,16,55,25,Yes (2–3 cycles),"Urea, DAP, MOP",Leaf Miner,Fipronil
Cherry,Fruit Tree,Cold & Temperate,"HP, J&K",Hills,25,14,60,25,Yes (Drip),"FYM, Potash, Boron",Thrips,Fipronil
Watermelon,Fruit Crop,Warm & Dry,"UP, MH, Karnataka",Plains,25,30,50,30,Yes (Seasonal),"NPK, FYM",Whitefly,Mancozeb
Fig,Fruit Tree,Warm & Dry,"MH, Gujarat, TN",Semi-arid,25,27,50,25,Yes (Drip),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Carrot,Root Crop,Cool & Moist,"Punjab, WB, Karnataka",Plains/Hills,35,17.5,70,25,Yes (Frequent),"Urea, DAP, MOP",Mealybug,Imidacloprid
Lemon,Fruit Shrub,Warm & Humid,"TN, Kerala, MH",Tropical/Subtropical,40,25,70,30,Yes (Drip),"FYM, Potash, Zinc",Mites,Carbendazim
Mustard Greens,Leafy Veg,Cool & Dry,"UP, Punjab, WB",Plains,30,20,55,25,Yes (2–3 cycles),"Urea, DAP, FYM",Mealybug,Lambda-cyhalothrin
Bitter Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Stem Borer,Malathion
Coconut,Plantation,Warm & Humid,"Kerala, TN, Goa",Plains,70,28.5,85,25,Yes (Rainfed + Drip),"FYM, Potash, Magnesium",Leaf Miner,Cypermethrin
Soybean,Oilseed Crop,Warm & Moist,"MP, Maharashtra, Rajasthan",Coastal,35,27.5,65,30,Yes (Seasonal),"Urea, DAP, MOP",Aphids,Lambda-cyhalothrin
Apricot,Fruit Tree,Cold & Temperate,"HP, J&K",Plains,25,15,60,25,Yes (Drip),"FYM, Potash, Boron",Armyworm,Spinosad
Onion,Bulb Crop,Warm & Dry,"MH, Gujarat, Karnataka",Hills,30,25,55,35,Yes (Seasonal),"Urea, DAP, MOP",Mites,Cypermethrin
Coriander,Spice/Herb,Cool & Dry,"Rajasthan, MP, Gujarat",Plains,25,20,55,25,Yes (Light),"FYM, Potash, Zinc",Aphids,Lambda-cyhalothrin
Cumin,Spice Seed,Dry & Sunny,"Rajasthan, Gujarat",Plains,25,25,50,25,Yes (Light),"FYM, Potash, Zinc",Stem Borer,Spinosad
Cabbage,Leafy Veg,Cool & Moist,"WB, Punjab, Karnataka",Arid/Semi-arid,35,17.5,70,30,Yes (Frequent),"NPK, FYM",Thrips,Mancozeb
Rajma,Pulse Crop,Cool & Dry,"HP, Uttarakhand, J&K",Hills/Plains,30,21.5,55,25,Yes (Seasonal),"Urea, DAP, FYM",Fruit Borer,Spinosad
Lettuce,Leafy Veg,Cool & Moist,"WB, Karnataka, Punjab",Hills/Plains,35,17.5,70,25,Yes (Frequent),"NPK, FYM",Leaf Miner,Fipronil
Snake Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Hills/Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Mealybug,Thiamethoxam
Ridge Gourd,Vegetable,Warm & Humid,"WB, Bihar, TN",Plains,40,27.5,70,35,Yes (Frequent),"NPK, FYM",Cutworm,Thiamethoxam
Broccoli,Leafy Veg,Cool & Moist,"Punjab, WB, Karnataka",Plains,35,17.5,70,30,Yes (Frequent),"NPK, FYM",Aphids,Imidacloprid
